ADDRESS,NAME,CATEGORY
70:2c:1f:3b:36:53,fridge,Appliance
c0:97:27:81:67:99,washer,Appliance
c0:97:27:73:aa:38,dryer,Appliance
b4:e6:2a:27:34:b7,dishwasher,Appliance
0c:2a:69:0e:91:16,ikettle,Appliance
20:f8:5e:cc:18:1f,brewer,Appliance
dc:4f:22:28:b6:5b,sousvide,Appliance
d8:28:c9:10:b5:60,microwave,Appliance
f0:b4:29:41:ec:d7,xiaomi-cleaner,Appliance
7c:49:eb:35:7a:49,xiaomi-ricecooker,Appliance
40:31:3c:df:7b:b7,xiaomi-induction,Appliance
00:fc:5c:e0:81:86,microseven-camera,Camera
98:84:e3:e4:35:bd,ring-doorbell,Camera
9c:8e:cd:0a:33:1b,amcrest-cam-wired,Camera
b0:fc:0d:c9:00:4c,cloudcam,Camera
b0:d5:9d:b9:f0:b4,yi-camera,Camera
78:a5:dd:1a:15:19,wansview-cam-wired,Camera
00:03:7f:4f:c6:b5,blink-security-hub,Camera
f4:b8:5e:31:73:db,blink-camera,Camera
00:0c:43:20:32:bb,luohe-spycam,Camera
ae:ca:06:08:d3:e6,lefun-cam-wired,Camera
7c:c7:09:56:6e:48,zmodo-doorbell,Camera
48:46:c1:1c:47:d3,ubell-doorbell,Camera
00:12:17:e9:e9:a6,icsee-doorbell,Camera
ec:71:db:eb:40:bf,reolink-cam-wired,Camera
24:fd:5b:04:1b:75,smartthings-hub,Gateway
00:0e:f3:3b:85:e5,insteon-hub,Gateway
24:fd:5b:02:1d:3a,t-smartthings-hub,Gateway
00:17:88:68:5f:61,t-philips-hub,Gateway
00:21:cc:4d:ce:8c,wink-hub2,Gateway
84:18:26:7d:cf:a2,lightify-hub,Gateway
34:ce:00:83:99:35,xiaomi-hub,Gateway
b0:ce:18:27:9f:e4,sengled-hub,Gateway
ec:fa:bc:2e:81:f7,switchbot-hub,Gateway
18:b4:30:c8:d8:28,nest-tstat,Home Automation
50:c7:bf:5a:2e:a0,tplink-plug,Home Automation
6c:72:20:c5:0a:3f,dlink-mov,Home Automation
ec:fa:bc:82:20:bb,bulb1,Home Automation
14:91:82:b4:4b:5f,t-wemo-plug,Home Automation
50:c7:bf:a0:f3:76,tplink-bulb,Home Automation
dc:4f:22:c1:58:05,magichome-strip,Home Automation
34:ce:00:99:9b:83,philips-bulb,Home Automation
34:ce:00:8b:22:74,xiaomi-strip,Home Automation
dc:4f:22:5b:1a:a3,smartlife-bulb,Home Automation
34:29:8f:1e:41:25,meross-dooropener,Home Automation
bc:dd:c2:38:d:32,smartlife-remote,Home Automation
f8:da:0c:7b:0a:8f,labelprinter,Office
18:74:2e:41:4d:35,echodot,Speaker
00:71:47:c0:91:93,echospot,Speaker
20:df:b9:5f:41:7e,google-home-mini,Speaker
fc:65:de:5f:15:0a,t-echodot,Speaker
fc:a1:83:38:e0:2d,echoplus,Speaker
d8:f7:10:c3:34:e4,invoke,Speaker
44:07:0b:50:4d:df,google-home-mini,Speaker
d4:a3:3d:6b:1e:97,homepod,Speaker
68:db:f5:90:19:64,echodot3a,Speaker
68:db:f5:b9:5d:01,echodot3b,Speaker
38:8c:50:68:d7:5c,lgtv-wired,TV
88:de:a9:08:03:b9,roku-tv,TV
6c:56:97:35:39:f4,firetv,TV
